name,description,price,stock_quantity,image_url,weight,length,width,height,origin_zip,category_id
COLCHÃO TERAPÊUTICO CLASSE A CLASSIC CASAL PADRÃO,"<strong>COLCHÃO CLASSE A CLASSIC</strong>
\n
\nCasal Padrão 1,38 x 1,88 x 32
\n
\nTerapias disponíveis no Colchão Classic
\n
\n* COLCHÃO ELÉTRICO COM 32 CM ALTURA, TAMPO EM MALHA 400G, CONFORTO EXTRA FIRME.
\n
\n* ESPUMA PERFILADA DENSIDADE 40, PASTILHADA COM IMÃS E INFRA VERMELHO LONGO, MAIS LÁTEX E ESPUMA D33 MACIA NO PILOW.
\n
\n* ESTRUTURA COM BORDA DE ESPUMA E POLIESTIRENO EXPANDIDO (EPS), COM SUPORTE ATÉ 180KG.
\n
\n* KIT VIBRO MASSAGEM COM 24 ESTÁGIOS E 8 MOTORES, ENERGIA QUÂNTICA E CROMOTERAPIA NO CONTROLE.
\n
\n* SUPORTE DE PESO - ATÉ 180 KG POR PESSOA",7280.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/1.jpg,35.0,188,11,32,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A CLASSIC CASAL QUEEN,"<strong>COLCHÃO CLASSE A CLASSIC</strong>
\n
\nCasal Queen 1,58 x 1,98 x 32
\n
\nTerapias disponíveis no Colchão Classic
\n
\n* COLCHÃO ELÉTRICO COM 32 CM ALTURA, TAMPO EM MALHA 400G, CONFORTO EXTRA FIRME.
\n
\n* ESPUMA PERFILADA DENSIDADE 40, PASTILHADA COM IMÃS E INFRA VERMELHO LONGO, MAIS LÁTEX E ESPUMA D33 MACIA NO PILOW.
\n
\n* ESTRUTURA COM BORDA DE ESPUMA E POLIESTIRENO EXPANDIDO (EPS), COM SUPORTE ATÉ 180KG.
\n
\n* KIT VIBRO MASSAGEM COM 24 ESTÁGIOS E 8 MOTORES, ENERGIA QUÂNTICA E CROMOTERAPIA NO CONTROLE.
\n
\n* SUPORTE DE PESO - ATÉ 180 KG POR PESSOA",9576.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/1.jpg,45.0,198,11,32,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A CLASSIC CASAL KING,"<strong>COLCHÃO CLASSE A CLASSIC</strong>
\n
\nCasal King 1,93 x 2,03 x 32
\n
\nTerapias disponíveis no Colchão Classic
\n
\n* COLCHÃO ELÉTRICO COM 32 CM ALTURA, TAMPO EM MALHA 400G, CONFORTO EXTRA FIRME.
\n
\n* ESPUMA PERFILADA DENSIDADE 40, PASTILHADA COM IMÃS E INFRA VERMELHO LONGO, MAIS LÁTEX E ESPUMA D33 MACIA NO PILOW.
\n
\n* ESTRUTURA COM BORDA DE ESPUMA E POLIESTIRENO EXPANDIDO (EPS), COM SUPORTE ATÉ 180KG.
\n
\n* KIT VIBRO MASSAGEM COM 24 ESTÁGIOS E 8 MOTORES, ENERGIA QUÂNTICA E CROMOTERAPIA NO CONTROLE.
\n
\n* SUPORTE DE PESO - ATÉ 180 KG POR PESSOA",9585.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/1.jpg,45.0,203,11,32,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A INTENSE SOLTEIRO,"Colchão Classe A Intense
\n
\nSolteiro 0,88 x 1,88 x 34
\n
\nTerapias disponíveis no Colchão Intense
\n
\n°  Pillow
\n°  Vibromassagem
\n°  Magnéticos
\n
\n°  infravermelho
\n
\n°  Perfilado Rabatan
\n
\n°  Densidade Inteligente
\n
\n°  Energia Quântica
\n
\n°  Cromoterapia
\n
\n°  Controle
\n
\n°  Despertador",4550.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-intense.png,25.0,188,11,34,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A INTENSE CASAL PADRÃO,"Colchão Classe A Intense
\n
\nCasal Padrão 1,38 x 1,88 x 34
\n
\nTerapias disponíveis no Colchão Intense
\n
\n°  Pillow
\n°  Vibromassagem
\n°  Magnéticos
\n
\n°  infravermelho
\n
\n°  Perfilado Rabatan
\n
\n°  Densidade Inteligente
\n
\n°  Energia Quântica
\n
\n°  Cromoterapia
\n
\n°  Controle
\n
\n°  Despertador",5600.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-intense.png,32.0,188,11,34,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A INTENSE CASAL QUEEN,"Colchão Classe A Intense
\n
\nCasal Queen 1,58 x 1,98 x 34
\n
\nTerapias disponíveis no Colchão Intense
\n
\n°  Pillow
\n°  Vibromassagem
\n°  Magnéticos
\n
\n°  infravermelho
\n
\n°  Perfilado Rabatan
\n
\n°  Densidade Inteligente
\n
\n°  Energia Quântica
\n
\n°  Cromoterapia
\n
\n°  Controle
\n
\n°  Despertador",6144.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-intense.png,40.0,198,11,34,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A INTENSE CASAL KING,"Colchão Classe A Intense
\n
\nCasal King 1,93 x 2,03 x 34
\n
\nTerapias disponíveis no Colchão Intense
\n
\n°  Pillow
\n°  Vibromassagem
\n°  Magnéticos
\n
\n°  infravermelho
\n
\n°  Perfilado Rabatan
\n
\n°  Densidade Inteligente
\n
\n°  Energia Quântica
\n
\n°  Cromoterapia
\n
\n°  Controle
\n
\n°  Despertador",7080.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-intense.png,45.0,203,11,34,82820-160,54
COLCHÃO ESTÁTICO HAIFLEX PRÓ-SAÚDE SOLTEIRO,"COLCHÃO ESTÁTICO SOTEIRO 0,88 X 1,88
\n
\nTerapias disponíveis no Colchão Pró Saúde
\n
\nPillow Top
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nTecido Soft
\n
\nGarantia 2 anos",4860.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE.jpeg,20.0,188,11,26,82820-160,53
COLCHÃO ESTÁTICO HAIFLEX PRÓ-SAÚDE CASAL PADRÃO,"COLCHÃO ESTÁTICO CASAL PADRÃO 1,38 x 1,88
\n
\nTerapias disponíveis no Colchão Pró Saúde
\n
\nPillow Top
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nTecido Soft
\n
\nGarantia 2 anos",5724.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE.jpeg,30.0,188,11,26,82820-160,53
COLCHÃO ESTÁTICO HAIFLEX PRÓ-SAÚDE CASAL QUEEN,"COLCHÃO ESTÁTICO CASAL QUEEN 1,58 x 1,98
\n
\nTerapias disponíveis no Colchão Pró Saúde
\n
\nPillow Top
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nTecido Soft
\n
\nGarantia 2 anos",6048.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/PRO-SAUDE.jpeg,40.0,198,11,26,82820-160,53
